============================================================
Nights with ≥3 stars available (good for 2-3 day observing runs):
============================================================
  2027-04-17  (Apr): 11 stars — 327341, 336615, 340251, 340253, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-18  (Apr): 13 stars — 327246, 327341, 336615, 340251, 340253, 340646, 340647, 340867, 340877, 347422, 349382, 473126, 475111
  2027-04-19  (Apr): 13 stars — 327246, 327341, 336615, 340251, 340253, 340646, 340647, 340867, 340877, 347422, 349382, 473126, 475111
  2027-04-20  (Apr): 15 stars — 327246, 327341, 327657, 336615, 340251, 340253, 340646, 340647, 340867, 340877, 347422, 349382, 349778, 473126, 475111
  2027-04-21  (Apr): 14 stars — 327246, 327341, 327657, 336615, 340251, 340253, 340646, 340647, 340867, 340877, 347422, 349382, 349778, 473126
  2027-04-22  (Apr): 12 stars — 327246, 327341, 336615, 340251, 340253, 340646, 340647, 340867, 340877, 347422, 349382, 473126
  2027-04-23  (Apr): 12 stars — 327246, 327341, 336615, 340251, 340253, 340646, 340647, 340867, 340877, 347422, 349382, 473126
  2027-04-24  (Apr): 14 stars — 327246, 327341, 327657, 336615, 340251, 340253, 340646, 340647, 340867, 340877, 347422, 349382, 349778, 473126
  2027-04-25  (Apr): 13 stars — 327246, 327341, 327657, 336615, 340251, 340253, 340647, 340867, 340877, 347422, 349382, 349778, 473126
  2027-04-26  (Apr): 13 stars — 327246, 327341, 327657, 336615, 340251, 340253, 340647, 340867, 340877, 347422, 349382, 349778, 473126
  2027-04-27  (Apr): 13 stars — 327246, 327341, 327657, 336615, 340251, 340253, 340647, 340867, 340877, 347422, 349382, 349778, 473126
  2027-04-28  (Apr): 14 stars — 327246, 327341, 327657, 336199, 336615, 340251, 340253, 340647, 340867, 340877, 347422, 349382, 349778, 473126
  2027-04-29  (Apr): 14 stars — 327246, 327341, 327657, 336199, 336615, 340251, 340253, 340647, 340867, 340877, 347422, 349778, 390231, 473126
  2027-04-30  (Apr): 13 stars — 327246, 327341, 327657, 336199, 336615, 340251, 340253, 340647, 340867, 340877, 349778, 390231, 473126
  2027-05-01  (May): 13 stars — 327246, 327341, 327657, 336199, 336615, 340251, 340253, 340647, 340867, 340877, 349778, 390231, 473126
  2027-05-02  (May): 14 stars — 327246, 327341, 327657, 327764, 336199, 336615, 340251, 340253, 340647, 340867, 340877, 349778, 390231, 473126
  2027-05-03  (May): 15 stars — 327246, 327341, 327657, 327764, 336199, 336615, 340251, 340253, 340647, 340867, 340877, 349778, 370939, 390231, 473126
  2027-05-04  (May): 15 stars — 327246, 327341, 327657, 327764, 336199, 336615, 340247, 340251, 340253, 340647, 340867, 340877, 349778, 370939, 390231
  2027-05-05  (May): 15 stars — 327246, 327341, 327657, 327764, 336199, 336615, 340247, 340251, 340253, 340647, 340867, 340877, 349778, 370939, 390231
  2027-05-06  (May): 15 stars — 327246, 327341, 327657, 327764, 336199, 336615, 340247, 340251, 340253, 340647, 340867, 340877, 349778, 370939, 390231
  2027-05-07  (May): 15 stars — 327246, 327341, 327657, 327764, 336199, 336615, 340247, 340251, 340253, 340647, 340867, 340877, 349778, 370939, 390231
